player,opponent,court,outcome,minutes,fgm,fga,tpm,tpa,ftm,fta,rebounds,assists,blocks,steals,fouls,turnOvers,points
Seventh Woods,NORTHERN IOWA,home,won,18,3,6,0,0,3,4,0,2,0,2,2,1,9
Seventh Woods,BUCKNELL,home,won,10,1,2,0,0,0,0,2,1,0,0,1,1,2
Seventh Woods,STANFORD,away,won,12,1,4,0,1,0,0,2,1,0,1,0,1,2
Seventh Woods,PORTLAND,home,won,14,0,3,0,0,0,0,4,2,0,0,1,0,0
Seventh Woods,ARKANSAS,home,won,6,0,2,0,1,0,0,1,1,0,0,1,0,0
Seventh Woods,#4 MICHIGAN STATE,home,lost,8,0,1,0,0,0,0,0,1,0,1,0,1,0
Seventh Woods,MICHIGAN,home,won,8,2,2,0,0,0,0,1,4,0,0,0,1,4
Seventh Woods,#9 DUKE,home,won,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Seventh Woods,NC STATE,away,won,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Seventh Woods,NOTRE DAME,home,won,6,0,0,0,0,0,0,0,0,0,0,3,0,0
Seventh Woods,LOUISVILLE,away,won,8,0,0,0,0,0,0,0,2,0,0,2,1,0
Seventh Woods,SYRACUSE,away,won,4,0,0,0,0,0,0,1,1,0,0,1,0,0
Seventh Woods,MIAMI,home,lost,4,0,1,0,1,0,0,0,0,0,1,2,3,0
Seventh Woods,#5 DUKE,away,lost,5,0,1,0,0,0,0,0,0,0,1,1,0,0
Seventh Woods,SYRACUSE,home,won,3,0,0,0,0,0,0,0,1,0,0,0,1,0
Seventh Woods,#24 MIAMI,home,won,6,1,3,0,0,1,1,0,1,0,0,1,0,3
Seventh Woods,#5 DUKE,home,won,3,0,1,0,0,0,0,1,0,0,0,0,1,0
Seventh Woods,#1 UVA,home,lost,10,0,0,0,0,0,0,1,2,1,0,1,0,0
Seventh Woods,(15) LIPSCOMB,home,won,2,0,0,0,0,0,0,1,0,0,0,1,1,0
Theo Pinson,NORTHERN IOWA,home,won,26,1,6,1,6,0,0,3,5,0,0,1,0,3
Theo Pinson,BUCKNELL,home,won,33,5,12,0,3,9,10,5,6,0,1,3,2,19
Theo Pinson,STANFORD,away,won,29,4,8,0,1,1,2,5,2,0,0,1,2,9
Theo Pinson,PORTLAND,home,won,25,4,7,1,3,2,4,9,7,1,0,1,3,11
Theo Pinson,ARKANSAS,home,won,33,3,6,0,1,3,4,4,2,3,0,3,5,9
Theo Pinson,#4 MICHIGAN STATE,home,lost,33,6,13,0,5,4,4,6,0,1,1,1,4,16
Theo Pinson,MICHIGAN,home,won,33,3,6,0,1,2,4,7,6,1,1,0,2,8
Theo Pinson,DAVIDSON,away,won,27,2,4,0,0,2,3,6,5,1,0,3,2,6
Theo Pinson,TULANE,home,won,28,4,6,0,0,1,2,4,4,0,1,2,1,9
Theo Pinson,W CAROLINA,home,won,23,2,4,0,1,0,0,2,7,1,0,0,3,4
Theo Pinson,#20 TENNESSEE,away,won,35,1,5,0,1,5,5,9,8,0,2,1,2,7
Theo Pinson,WOFFORD,home,lost,24,0,1,0,1,2,2,2,4,1,1,4,5,2
Theo Pinson,OHIO STATE,home,won,30,4,11,1,2,10,10,5,1,0,1,3,3,19
Theo Pinson,WAKE FOREST,home,won,29,2,5,0,0,4,5,7,6,0,0,3,3,8
Theo Pinson,#24 FLORIDA STATE,away,lost,24,2,6,0,0,1,1,3,4,0,2,5,1,5
Theo Pinson,#8 UVA,away,lost,27,0,3,0,1,4,4,2,1,0,2,0,2,4
Theo Pinson,BOSTON COLLEGE,home,won,26,4,7,0,0,0,0,8,5,1,0,2,0,8
Theo Pinson,NOTRE DAME,away,won,33,4,7,1,1,4,6,7,4,0,1,1,0,13
Theo Pinson,#20 CLEMSON,home,won,31,2,7,0,4,8,8,7,6,3,1,4,2,12
Theo Pinson,GEORGIA TECH,home,won,32,4,9,1,1,2,4,10,4,0,3,2,3,11
Theo Pinson,VIRGINIA TECH,away,lost,31,1,2,0,0,2,2,6,8,0,1,1,3,4
Theo Pinson,NC STATE,home,lost,36,10,16,0,1,2,4,15,1,1,1,4,4,22
Theo Pinson,#20 CLEMSON,away,lost,2,0,0,0,0,0,0,1,1,0,0,0,0,0
